ENSG00000116285	ENSRNOG00000011245	ENSMUSG00000037503	ENSSSCG00000004109	ENSDARG00000018319	FBgn0020545	AT1G02030	
ENSG00000162426	ENSRNOG00000063903	ENSMUSG00000026123	ENSSSCG00000004110	ENSDARG00000098730	FBgn0031288	AT1G02040	
ENSG00000142599	ENSRNOG00000048904	ENSMUSG00000045216	ENSSSCG00000028974	ENSDARG00000079779	FBgn0031289	AT1G02050	
ENSG00000074800	ENSRNOG00000011720	ENSMUSG00000037470	ENSSSCG00000033175	ENSDARG00000089090	FBgn0029095	AT1G02060	
ENSG00000131686	ENSRNOG00000039955	ENSMUSG00000047180	ENSSSCG00000046147	ENSDARG00000093857	FBgn0020305	AT1G02065	
ENSG00000197241	ENSRNOG00000033517	ENSMUSG00000037447	ENSSSCG00000048240	ENSDARG00000095309	FBgn0053526	AT1G02067	
ENSG00000142583	ENSRNOG00000047783	ENSMUSG00000010453	ENSSSCG00000004113	ENSDARG00000095673	FBgn0031292	AT1G02070	
ENSG00000180758	ENSRNOG00000026462	ENSMUSG00000037432	ENSSSCG00000043354	ENSDARG00000099359	FBgn0002936	AT1G02080	
ENSG00000049239	ENSRNOG00000067501	ENSMUSG00000001143	ENSSSCG00000004114	ENSDARG00000092361	FBgn0002563	AT1G02090	
ENSG00000171621	ENSRNOG00000012346	ENSMUSG00000037408	ENSSSCG00000004119	ENSDARG00000103767	FBgn0046113	AT1G02100	
ENSG00000171612	ENSRNOG00000013202	ENSMUSG00000001138	ENSSSCG00000004120	ENSDARG00000075791	FBgn0028481	AT1G02110	
ENSG00000188807	ENSRNOG00000055111	ENSMUSG00000079610	ENSSSCG00000004121	ENSDARG00000107486	FBgn0031294	AT1G02120	
ENSG00000171608	ENSRNOG00000013304	ENSMUSG00000026121	ENSSSCG00000004123	ENSDARG00000029720	FBgn0031296	AT1G02130	
ENSG00000171603	ENSRNOG00000013422	ENSMUSG00000046337	ENSSSCG00000004125	ENSDARG00000100166	FBgn0003310	AT1G02140	
ENSG00000178585	ENSRNOG00000013791	ENSMUSG00000061518	ENSSSCG00000004127	ENSDARG00000074212	FBgn0015905	AT1G02145	
ENSG00000162441	ENSRNOG00000013994	ENSMUSG00000037351	ENSSSCG00000004128	ENSDARG00000062929	FBgn0031298	AT1G02150	
ENSG00000173614	ENSRNOG00000015036	ENSMUSG00000102416	ENSSSCG00000040918	ENSDARG00000022668	FBgn0031299	AT1G02160	
ENSG00000162444	ENSRNOG00000015321	ENSMUSG00000026117	ENSSSCG00000039614	ENSDARG00000099708	FBgn0261938	AT1G02170	
